"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.49992065273163","7.56614912922728","7.71242652573356","7.71200141566869","7.78392306630155","7.84998443830022","7.8277483056392","7.83407815231021","7.92640462904988","7.85502184020218","7.88711970408455","8.41392957982854","8.28892404105842","7.84808516885247","7.70820226138398","7.55974827810962","7.13841435333429","6.35812034716316","6.62541525593077","7.43232453470995","7.24981784337508","7.0544618165443","6.97072774266369","6.90115385969739","6.97775295151935","7.04150541182039","7.0006072034085","6.87703357049449","6.91387808580571","",
"Afganistán","AFG","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.36","14.61","14.61","14.76","14.95","14.58","14.76","14.77","14.84","14.79","14.75","15.02","14.87","14.94","14.96","14.54","14.85","14.27","14.99","14.76","14.79","14.86","14.7","14.53","14.45","14.33","14.09","13.92","13.81","",
"","AFW","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.03146759724524","4.09921610654988","4.18601233742825","4.21425896290418","4.25905679401796","4.32792638776886","4.36870955988302","4.45477439598539","4.69448518173892","4.75410785817778","4.72928130887984","4.75365973444347","4.73250182700208","4.75428620207592","4.72670141578462","4.55853909279282","4.46304158269313","4.46350959157674","4.70735026714229","4.78821691613794","4.71945637174779","4.80168390942908","4.57197222109314","5.21780760984841","5.08262398660964","6.07553551760778","6.37724584666844","5.92082528444277","5.5370500484521","",
"Angola","AGO","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.59","2.83","2.9","2.91","2.94","3.02","2.91","2.97","2.92","2.8","2.81","2.94","2.84","2.91","2.92","2.81","2.8","2.77","2.85","10.92","7.72","7.81","7.78","7.71","7.65","7.5","7.41","7.28","7.22","",
"Albania","ALB","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6","16.04","16.64","16.78","16.79","16.76","16.41","16.78","16.95","16.92","16.96","16.99","17.01","16.94","16.85","16.62","16.4","13.75","15.73","15.88","13.75","11.46","13.34","15.45","17.12","14.45","12.48","11.87","11.31","",
"Andorra","AND","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7984474659057","14.9228606662646","16.3982012158471","17.1856676108685","17.575034858229","16.1034976841791","16.1747947785666","16.3067549294026","16.1713814556971","17.5181541835241","17.4388026614184","17.9475899310429","17.7973301436875","17.6217410384571","17.6514723098254","16.906528273701","15.8746025317698","15.8784977154583","17.4545518729826","17.9966526331584","18.8639081660477","19.3425702318008","19.4557136157751","19.6889105043131","20.0315978186052","19.9972693631753","20.3884259679035","19.9034326788188","19.8697896322441","",
"Emiratos Árabes Unidos","ARE","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.35","2.11","2.04","2.2","2.36","2.34","2.46","2.54","2.52","2.72","3.4","4.04","5.03","6.09","7.22","6.8","7.04","6.71","6.53","5.77","5.96","5.72","5.27","4.62","4.45","4.2","7.14","6.19","6.33","",
"Argentina","ARG","Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.75","6.71","12.56","13.93","22.19","19.19","17.63","14.03","15.15","16.34","17.19","18.83","17.55","15.79","13.56","12.39","10.5","9.72","9.86","9.2","8.5","8.81","8.48","8.38","8.68","9.14","9.46","10.54","10.7","",
