"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afganistán","AFG","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0900001525879","","","24.0200004577637","","","",
"","AFW","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.4500007629395","","","","","7.07000017166138","","19.7299995422363","","","18.1200008392334","","","","","","",
"Albania","ALB","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2200002670288","10.4799995422363","12.3800001144409","13.8199996948242","10.4499998092651","8.4399995803833","10.3100004196167","10.75","11.1199998855591","10.5100002288818","9.77000045776367","7.32999992370605","8.93000030517578","",
"Andorra","AND","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Emiratos Árabes Unidos","ARE","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.889999985694885","","","","","","","","","","4","","","","","","","","","","","","4.1399998664856","","","",
"Argentina","ARG","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6399993896484","20.9699993133545","18.1499996185303","15.8800001144409","14.6099996566772","","12.4700002670288","11.9700002670288","10.9099998474121","9.60000038146973","10.3100004196167","10.2299995422363","10.1599998474121","","","12.4799995422363","13.1499996185303","13.8699998855591","",
"Armenia","ARM","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2099990844727","30.6800003051758","9.78999996185303","7.82000017166138","10.8100004196167","9.60999965667725","9.0600004196167","10.2799997329712","9.02999973297119","11.789999961853","12.8400001525879","9.18000030517578","13.6400003433228","",
"Samoa Americana","ASM","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1899995803833","","11.539999961853","9.81999969482422","","9.60000038146973","10.039999961853","8.46000003814697","8.76000022888184","7.73000001907349","8.26000022888184","7.28999996185303","9.05000019073486","9.22999954223633","7.69000005722046","8.71000003814697","8.93000030517578","9.48999977111816","8.02999973297119","","","","","","","",
"Austria","AUT","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51999998092651","","","","8.60000038146973","6.69999980926514","7.26000022888184","6.71999979019165","7.1100001335144","7.40999984741211","11.4499998092651","10.4499998092651","9.31999969482422","9.02000045776367","8.19999980926514","9.47000026702881","7.92999982833862","8.1899995803833","8.72999954223633","9.19999980926514","9.93000030517578","9.57999992370605","10.8000001907349","11.0799999237061","9.5600004196167","8.6899995803833","",
"Azerbaiyán","AZE","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.21999979019165","11.4300003051758","5.42999982833862","9.15999984741211","10.9700002670288","8.02999973297119","","","","","","","","",
"Burundi","BDI","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.60999989509583","","","","","","",
"Bélgica","BEL","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2900009155273","17.2199993133545","14.1000003814697","12.1499996185303","14.0200004577637","12.4899997711182","14.2600002288818","16.3199996948242","15.2600002288818","14.1400003433228","13.1899995803833","13.8000001907349","15.1499996185303","13.8100004196167","13.5500001907349","15.1300001144409","14.8100004196167","14.7799997329712","15.4899997711182","13.7200002670288","12.6999998092651","11.6800003051758","",
"Benin","BEN","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.50999999046326","","","","","","","","","",
"Burkina Faso","BFA","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30000019073486","","","","8.86999988555908","","",
"Bangladesh","BGD","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.55000019073486","","","","3.89000010490417","","","5.1399998664856","","","5.90000009536743","5.65999984741211","","","",
"Bulgaria","BGR","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0100002288818","33.0499992370605","29.3899993896484","23.9899997711182","20.5900001525879","19.6200008392334","22.1800003051758","19.9200000762939","15.4200000762939","15.8999996185303","22.3199996948242","26.0200004577637","26.2700004577637","27.8400001525879","27.0699996948242","25.25","22.4699993133545","19.8600006103516","15.6599998474121","14.1499996185303","",
"Bahrein","BHR","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.46000003814697","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.9599990844727","40.9500007629395","30.4099998474121","32.3800010681152","31.9200000762939","34","27.1900005340576","28.8099994659424","34.9500007629395","29.3099994659424","29.0400009155273","22.5300006866455","18.8899993896484","16.25","",
"Belarús","BLR","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.34000015258789","","","","",
"Belice","BLZ","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5699996948242","","","","","","","28.4200000762939","14.4899997711182","16.75","12.8199996948242","12.3599996566772","11.039999961853","","","",
"Bermudas","BMU","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8199999332428","","","","","","","","","11.4799995422363","4.46000003814697","","11.8599996566772","","","","","","","","",
"Bolivia","BOL","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94000005722046","1.28999996185303","","6.71000003814697","4.55999994277954","7.61999988555908","6.15999984741211","","","6.30999994277954","6.09999990463257","5","3.25","4.03000020980835","","3.10999989509583","2.82999992370605","4.23999977111816","3.21000003814697","3.99000000953674","3.03999996185303","3.07999992370605","2.4300000667572","3.22000002861023","",
"Brasil","BRA","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3900003433228","12.1099996566772","13.7299995422363","15.8000001907349","16.1800003051758","","15.1400003433228","14.3599996566772","15.2799997329712","14.4099998474121","15.039999961853","13.4799995422363","12.9099998474121","11.4799995422363","13.3299999237061","","11.3400001525879","8.64000034332275","8.51000022888184","7.84999990463257","10.3500003814697","16.0799999237061","17.9099998474121","17.2700004577637","17.5100002288818","",
"Barbados","BRB","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.84999990463257","","","","","","1.92999994754791","","","","","","","","","","","","10.8699998855591","9.06999969482422","9.85000038146973","9.38000011444092","7.8899998664856","",
"Brunei Darussalam","BRN","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.46000003814697","","","12.8000001907349","10.710000038147","10.6999998092651","",
"Bhután","BTN","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.90999984741211","6.61999988555908","","4.8600001335144","3.46000003814697","","","","","","","",
"Botswana","BWA","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4500007629395","","","25.3099994659424","24.7199993133545","","","","","","","","","26.3500003814697","",
"República Centroafricana","CAF","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canadá","CAN","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.25","14.5600004196167","16.4699993133545","16","15.6999998092651","14.6899995803833","15.3299999237061","15.9300003051758","14.3800001144409","13.6000003814697","12.8100004196167","12.6800003051758","13.2700004577637","13.5","13.6700000762939","12.9099998474121","12.4499998092651","11.7399997711182","11.2200002670288","14.5299997329712","15.25","15.4099998474121","15.3599996566772","15.0100002288818","14.2200002670288","14.1300001144409","13.7299995422363","12.5100002288818","12.1899995803833","11.5200004577637","18.4400005340576",
"Europa Central y del Báltico","CEB","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0335745918081","15.4218337600931","20.1082452513363","22.6605671690139","22.6660915057397","22.7906493614318","24.7583427295029","23.8644469890604","20.8730887810706","16.6926012366786","14.4756366103798","17.9456428356216","20.3299825842836","20.3163598377189","21.5694850842019","22.083328592354","20.3901957119869","19.2444164093331","16.4115682508905","13.9728802145465","11.5921954391723","11.4740445208064","",
"Suiza","CHE","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.10999989509583","5.73000001907349","7.05999994277954","6.63000011444092","7.21000003814697","","","5.76000022888184","5.42000007629395","4.48999977111816","5.09999990463257","3.88000011444092","6.71000003814697","7.67000007629395","8.63000011444092","7.67000007629395","7.73000001907349","6.59999990463257","7.82999992370605","8.1899995803833","8.23999977111816","7.57999992370605","7.65999984741211","8.60000038146973","8.64000034332275","8.89999961853027","8.10000038146973","8.26000022888184","7.42000007629395","",
"Islas del Canal","CHI","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9700002670288","","13.1199998855591","","","12.3100004196167","","","4.05999994277954","6.38000011444092","","13.2700004577637","10.789999961853","8.94999980926514","8.0600004196167","7.03000020980835","7.21999979019165","7.28000020980835","6.8600001335144","6.98000001907349","8.02000045776367","7.42999982833862","",
"China","CHN","Personas desempleadas con educación básica, mujeres","SL.UEM.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
