Industry,Women employees (in thousands) >> Aug.2020,Women employees (in thousands) >> June2021,Women employees (in thousands) >> July2021(p),Women employees (in thousands) >> Aug.2021(p),Percent of all employees >> Aug.2020,Percent of all employees >> June2021,Percent of all employees >> July2021(p),Percent of all employees >> Aug.2021(p)
Total nonfarm,"70,227","72,593","73,288","73,316",49.8,49.8,49.9,49.8
Total private,"57,529","60,026","60,491","60,546",48.3,48.4,48.4,48.4
Goods-producing,"4,505","4,635","4,647","4,660",22.7,22.7,22.7,22.8
Mining and logging,86,83,83,83,14.6,13.1,13.0,12.9
Construction,966,"1,014","1,020","1,026",13.4,13.7,13.7,13.8
Manufacturing,"3,453","3,538","3,544","3,551",28.6,28.7,28.6,28.6
Durable goods,"1,833","1,874","1,879","1,884",24.4,24.5,24.4,24.4
Nondurable goods,"1,620","1,664","1,665","1,667",35.5,35.6,35.6,35.6
Private service-providing,"53,024","55,391","55,844","55,886",53.5,53.4,53.5,53.4
"Trade, transportation, and utilities","10,411","10,760","10,775","10,764",39.2,39.4,39.3,39.2
Wholesale trade,"1,663.4","1,725.3","1,726.3","1,726.9",30.0,30.2,30.2,30.2
Retail trade,"7,280.2","7,429.8","7,419.8","7,405.4",48.5,48.4,48.3,48.3
Transportation and warehousing,"1,335.0","1,471.2","1,494.6","1,497.0",24.4,25.6,25.8,25.6
Utilities,132.5,134.1,134.4,134.6,24.5,24.9,25.0,25.1
Information,"1,043","1,085","1,087","1,097",39.9,39.8,39.6,39.7
Financial activities,"4,901","4,946","4,954","4,958",56.5,56.2,56.1,56.0
Professional and business services,"9,127","9,592","9,681","9,717",45.8,46.0,46.3,46.3
Education and health services,"17,804","18,163","18,246","18,230",77.1,77.2,77.2,77.0
Leisure and hospitality,"6,880","7,838","8,058","8,052",53.1,53.0,53.0,52.9
Other services,"2,858","3,007","3,043","3,068",53.0,53.1,53.3,53.4
Government,"12,698","12,567","12,797","12,770",57.5,57.7,58.0,57.9
