NOMBRE,CARGO
Guido Bellido Ugarte,Presidente del Consejo de Ministros
Oscar Maúrtua de Romaña,Ministro de Relaciones Exteriores
Walter Edison Ayala Gonzales,Ministro de Defensa
Pedro Andrés Toribio Topiltzin Francke Ballvé,Ministro de Economía y Finanzas
Juan Manuel Carrasco Millones,Ministro del Interior
Aníbal Torres Vásquez,Ministro de Justicia y Derechos Humanos
Juan Raúl Cadillo León,Ministro de Educación
Hernando Ismael Cevallos Flores,Ministro de Salud
Víctor Raúl Maita Frisancho,Ministro de Desarrollo Agrario y Riego
Iber Antenor Maraví Olarte,Ministro de Trabajo y Promoción del Empleo
Yván Quispe Apaza,Ministro de la Producción
Roberto Helbert Sánchez Palomino,Ministro de Comercio Exterior y Turismo
Iván Godofredo Merino Aguirre,Ministro de Energía y Minas
Juan Francisco Silva Villegas,Ministro de Estado en el Despacho de Transportes y Comunicaciones
Geiner Alvarado López,"Ministro de Vivienda, Construcción y Saneamiento"
Anahí Durand Guevara,Ministra de la Mujer y Poblaciones Vulnerables
Rubén José Ramírez Mateo,Ministro del Ambiente
Ciro Alfredo Gálvez Herrera,Ministro de Cultura
Dina Ercilia Boluarte Zegarra,Ministra de Desarrollo e Inclusión Social
