UN member or observer state,Overall name of legislature,Name of house(s),House level,Term (years),Electoral system,Seats,Population per seat
Afghanistan,National Assembly (ملی شورا Mili Shura / شورای ملی Shura-e Milli),House of the People (ولسي جرګه Wolesi Jirga),Lower,5,Single non-transferable vote,249,"122,168"
Afghanistan,National Assembly (ملی شورا Mili Shura / شورای ملی Shura-e Milli),House of Elders (مشرانوجرګه Meshrano Jirga),Upper,"3, 4 and 5","Elected by district and provincial councils, and appointed by the president",102,"298,234"
Albania,Parliament (Kuvendi i Shqipërisë),Parliament (Kuvendi i Shqipërisë),Unicameral,4,Closed listproportional representation with the D'Hondt method by county with a 3% threshold,140,"20,226"
Algeria,"Parliament (البرلمان, Parlement)","People's National Assembly (المجلس الشعبي الوطني al-Majlis al-Sha'abi al-Watani, Assemblée populaire nationale)",Lower,5,Open listproportional representation with the largest remainder method by province,407,"80,303"
Algeria,"Parliament (البرلمان, Parlement)","Council of the Nation (مجلس الأمة Majlis al-Umma, Conseil de la nation)",Upper,6,"Elected by popular wilaya assemblies and communal people's assemblies, and appointed by the President",144,"257,638"
Andorra,General Council (Consell General),General Council (Consell General),Unicameral,4,Parallel voting: Closed listproportional representation with the largest remainder method nationwide and block vote by parish,28,"2,789"
Angola,National Assembly (Assembleia Nacional),National Assembly (Assembleia Nacional),Unicameral,4,Closed listproportional representation with the D'Hondt method nationwide and by province,220,"84,081"
Antigua and Barbuda,Parliament,House of Representatives,Lower,5,First-past-the-post,17,"4,305"
Antigua and Barbuda,Parliament,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch, on the advice of the Prime Minister and Leader of the Opposition",19,"4,811"
Argentina,National Congress of Argentina (Congreso de la Nación Argentina),Chamber of Deputies of the Nation (Cámara de Diputados de la Nación),Lower,4,Closed listproportional representation with the D'Hondt method by province with a 3% threshold,257,"156,097"
Argentina,National Congress of Argentina (Congreso de la Nación Argentina),Senate of the Nation (Senado de la Nación),Upper,6,Partial block voting by province,72,"557,181"
Armenia,National Assembly (Ազգային Ժողով Azgayin Zhoghov),National Assembly (Ազգային Ժողով Azgayin Zhoghov),Unicameral,5,Closed listproportional representation in a nationwide constituency with a 5% threshold,105,"24,902"
Australia,Parliament of Australia,House of Representatives,Lower,3,Instant-runoff voting,151,"162,914"
Australia,Parliament of Australia,Senate,Upper,6,Single transferable vote by state/territory,76,"323,684"
Austria,Austrian Parliament,National Council (Nationalrat),Lower,5,Open listproportional representation with the D'Hondt method in constituencies with a 4% threshold,183,"43,895"
Austria,Austrian Parliament,Federal Council (Bundesrat),Upper,5 and 6,Elected by state legislatures,61,"129,563"
Azerbaijan,National Assembly (Milli Məclis),National Assembly (Milli Məclis),Unicameral,5,First-past-the-post,125,"73,320"
"Bahamas, The",Parliament,House of Assembly,Lower,5,First-past-the-post,39,"9,326"
"Bahamas, The",Parliament,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch,  on the advice of the Prime Minister and Leader of the Opposition",16,"22,103"
Bahrain,National Assembly (المجلس الوطني),Council of Representatives (مجلس النواب Majlis an-nuwab),Lower,4,Two-round system,40,"30,864"
Bahrain,National Assembly (المجلس الوطني),Consultative Council (مجلس الشورى Majlis al-shura),Upper,4,Appointed by the king,40,"30,864"
Bangladesh,National Parliament (জাতীয় সংসদ Jatiya Sangsad),National Parliament (জাতীয় সংসদ Jatiya Sangsad),Unicameral,5,First-past-the-post,350,"466,909"
Barbados,Parliament,House of Assembly,Lower,5,First-past-the-post,30,"9,486"
Barbados,Parliament,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch, on the advice of the Prime Minister and Leader of the Opposition",21,"13,551"
Belarus,National Assembly (Нацыянальны сход Nacyjanaĺny schod / Национальное собрание),House of Representatives (Палата прадстаўнікоў Palata pradstaŭnikoŭ / Палата представителей),Lower,4,Two-round system,110,"85,997"
Belarus,National Assembly (Нацыянальны сход Nacyjanaĺny schod / Национальное собрание),Council of the Republic (Савет Рэспублікі Saviet Respubliki / Совет Республики),Upper,4,"Elected by regional councils, and appointed by the President",64,"147,773"
